ts_code,name,industry,close,dividend_yield,market_cap,pe_ttm,pb
601998.SH,中信银行,银行,7.38,0.048808,4106.61297508,5.8548,0.5801
603515.SH,欧普照明,家用电器,18.36,0.048799999999999996,136.56491742,15.9092,2.0509
601077.SH,渝农商行,银行,6.25,0.048735999999999995,709.8125,5.9656,0.5395
000568.SZ,泸州老窖,白酒,122.11,0.048733000000000005,1797.38833102,14.2172,3.618
603355.SH,莱克电气,家用电器,30.96,0.048459,177.52323751,18.2485,3.2493
600461.SH,洪城环境,水务,9.61,0.04828299999999999,123.40731261,10.2765,1.2788
600036.SH,招商银行,银行,41.52,0.048170000000000004,10471.279893539999,7.0287,0.9608
000567.SZ,海德股份,多元金融,6.12,0.047893,119.62103988999999,,2.2183
301371.SZ,敷尔佳,日用化工,24.18,0.047719,125.76114720000001,26.6188,2.2508
601107.SH,四川成渝,路桥,6.09,0.047618999999999995,186.23585400000002,11.3829,0.9807
600273.SH,嘉化能源,化工原料,8.26,0.047556,112.07824852,10.7788,1.1129
000921.SZ,海信家电,家用电器,25.95,0.04736100000000001,359.37147387,10.6743,2.1233
600662.SH,外服控股,文教休闲,5.08,0.047245,115.99963465,10.489,2.2996
603833.SH,欧派家居,家居用品,52.21,0.047233,318.03871186000003,13.2474,1.6788
601825.SH,沪农商行,银行,9.2,0.047173999999999994,887.28888894,7.1727,0.7046
600820.SH,隧道股份,建筑工程,6.4,0.046875,201.22215002,7.8875,0.6518
600941.SH,中国移动,电信运营,102.31,0.046859000000000005,22141.41321939,15.5003,1.6203
002233.SZ,塔牌集团,水泥,9.46,0.046846,112.78921651000002,15.1478,0.9415
601766.SH,中国中车,运输设备,6.84,0.046784,1963.0023036200002,12.9942,1.178
605599.SH,菜百股份,服饰,15.48,0.046512000000000005,120.40000344,14.8324,2.8915
002714.SZ,牧原股份,农业综合,49.59,0.046475,2708.9882103100003,12.2142,3.8235
000708.SZ,中信特钢,特种钢,15.24,0.046405,769.1868531399999,13.687,1.898
600970.SH,中材国际,建筑工程,9.8,0.046236,256.93831335,8.573,1.1596
601598.SH,中国外运,仓储物流,6.27,0.046233,450.16303957,11.9352,1.1765
600612.SH,老凤祥,服饰,44.52,0.046047000000000005,232.89202853,14.452,1.8109
600757.SH,长江传媒,出版业,8.93,0.045913,108.37896938,9.7189,1.0958
002007.SZ,华兰生物,生物制药,15.29,0.045781999999999996,279.41812423,29.4553,2.6718
601717.SH,中创智领,专用机械,24.53,0.045658000000000004,437.95860283,9.6891,1.8911
600350.SH,山东高速,路桥,9.21,0.045603,445.26397298,13.4945,1.5049
002555.SZ,三七互娱,互联网,21.9,0.045403,484.48005214,15.5269,3.7278
600211.SH,西藏药业,生物制药,41.35,0.045248,133.27898755,13.5833,3.7528
600938.SH,中国海油,石油开采,28.25,0.044997999999999996,13427.21200048,10.8945,1.781
603816.SH,顾家家居,家居用品,30.81,0.044809,253.089213,15.8534,2.4507
601811.SH,新华文轩,出版业,13.41,0.044743000000000005,165.4580781,10.1484,1.1216
600690.SH,海尔智家,家用电器,27.49,0.044462,2577.9103907900003,12.2996,2.202
600167.SH,联美控股,供气供热,7.09,0.04437,160.43538883,23.1179,1.4799
600132.SH,重庆啤酒,啤酒,54.48,0.044053,263.66750866999996,25.76,13.1658
000828.SZ,东莞控股,路桥,10.82,0.043899999999999995,112.47573853,10.5686,1.1058
601939.SH,建设银行,银行,8.93,0.043875000000000004,23360.91406429,6.9287,0.6902
000429.SZ,粤高速A,路桥,11.97,0.043693,250.26949328,14.2938,2.3075
601009.SH,南京银行,银行,11.35,0.043683,1403.26488231,6.5211,0.787
000683.SZ,博源化工,化工原料,6.88,0.043627,255.71801133,23.9299,1.7599
600066.SH,宇通客车,汽车整车,34.47,0.043516000000000006,763.14485017,15.3344,5.6888
600660.SH,福耀玻璃,汽车配件,62.08,0.043491999999999996,1620.12878467,17.8368,4.8909
600916.SH,中国黄金,服饰,8.05,0.043478,135.24,33.1714,1.8789
600926.SH,杭州银行,银行,15.23,0.043336,1104.02308806,5.8114,0.8478
603317.SH,天味食品,食品,12.73,0.043116,135.57402823,23.1985,3.088
601083.SH,锦江航运,水运,11.32,0.04311,146.494384,9.8565,1.6498
600585.SH,海螺水泥,水泥,22.06,0.043064,1169.0261489299999,13.2811,0.614
600285.SH,羚锐制药,中成药,20.96,0.042939,118.86740587,14.8657,3.6594
000739.SZ,普洛药业,化学制药,16.35,0.042895,189.40552468,21.9795,2.9201
002142.SZ,宁波银行,银行,28.02,0.042827000000000004,1850.32613992,6.4103,0.857
605117.SH,德业股份,电气设备,89.44,0.042587,811.90635134,26.4665,9.7477
600438.SH,通威股份,电气设备,21.18,0.042538,953.52144748,,2.2844
600373.SH,中文传媒,出版业,9.6,0.042504999999999994,131.28049142,31.5736,0.7528
600873.SH,梅花生物,食品,10.07,0.042495000000000005,282.38713416,7.49,1.7522
601019.SH,山东出版,出版业,8.73,0.042383,182.18636999999998,11.7988,1.1809
600352.SH,浙江龙盛,染料涂料,10.65,0.04225399999999999,346.47984309000003,16.7062,1.0146
001965.SZ,招商公路,路桥,9.91,0.042121000000000006,673.39391371,13.0146,1.0122
002056.SZ,横店东磁,电气设备,19.46,0.042096999999999996,316.5581696,13.4538,3.0884
600012.SH,皖通高速,路桥,14.36,0.042061,245.35379526,12.7448,1.9727
002416.SZ,爱施德,电器连锁,11.89,0.042052,147.35060673,37.431,2.5303
603589.SH,口子窖,白酒,31.0,0.041968,185.41703632,17.0631,1.7704
601555.SH,东吴证券,证券,8.94,0.041946000000000004,444.20203362999996,12.8037,1.0675
601369.SH,陕鼓动力,机械基件,10.27,0.041870000000000004,177.00083033,17.8267,2.0149
000951.SZ,中国重汽,汽车整车,17.11,0.041870000000000004,201.0201475,12.5955,1.3244
002705.SZ,新宝股份,家用电器,14.29,0.041658999999999995,116.01704896,10.463,1.3865
600210.SH,紫江企业,广告包装,7.21,0.041609,109.35667699,8.77,1.64
301109.SZ,军信股份,环境保护,15.5,0.041475,122.31063051,16.6527,1.6003
002043.SZ,兔宝宝,其他建材,14.31,0.041454000000000005,118.73786609,16.2187,3.6947
600039.SH,四川路桥,建筑工程,9.89,0.041417,859.9939147900001,11.1157,1.7387
001286.SZ,陕西能源,火力发电,9.94,0.041247,372.75,12.73,1.4236
000596.SZ,古井贡酒,白酒,145.6,0.041208999999999996,769.6416,16.2682,3.0228
603345.SH,安井食品,食品,82.2,0.041078,273.9635021,19.7526,1.8113
601728.SH,中国电信,电信运营,6.68,0.041003,6112.67686509,17.7247,1.3343
301207.SZ,华兰疫苗,生物制药,19.43,0.040761000000000006,116.77964325,165.7291,2.196
601006.SH,大秦铁路,铁路,5.4,0.040741,1087.94759666,16.3354,0.6602
603529.SH,爱玛科技,摩托车,29.96,0.040533,260.39073562,11.1193,2.736
600377.SH,宁沪高速,路桥,12.09,0.040529,609.06367275,13.0586,1.512
600057.SH,厦门象屿,仓储物流,8.51,0.040304,241.73415275,11.1788,1.5005
603195.SH,公牛集团,家用电器,42.63,0.040223,771.00093139,19.3348,4.9229
600741.SH,华域汽车,汽车配件,19.89,0.040221,627.07680042,9.0815,0.9688
600027.SH,华电国际,火力发电,5.26,0.040063,610.77932208,8.7462,1.2822
